Round,Accuracy (%),Epsilon Acumulado,ASR
1,69.23,1.0,0.0628
2,77.71000000000001,1.8,0.1133
3,78.78,2.4000000000000004,0.1144
4,78.86999999999999,2.9000000000000004,0.1163
5,80.36,3.4000000000000004,0.124
6,81.84,3.9000000000000004,0.1522
7,82.25,4.4,0.1513
8,83.03,4.9,0.1657
9,83.55,5.4,0.1862
10,84.3,5.9,0.1822
11,84.93,7.4,0.1913
12,85.34,8.700000000000001,0.2011
13,85.66,9.8,0.2045
14,85.98,10.700000000000001,0.2097
15,86.35000000000001,11.400000000000002,0.2224
16,86.47,11.900000000000002,0.2231
17,86.59,12.400000000000002,0.2341
18,86.92999999999999,12.900000000000002,0.2293
19,87.03999999999999,14.400000000000002,0.239
20,87.24,15.700000000000003,0.25
21,87.26,16.800000000000004,0.2616
22,87.42999999999999,17.700000000000003,0.2725
23,87.68,18.400000000000002,0.2709
24,87.53,18.900000000000002,0.2699
25,87.82,19.400000000000002,0.2848
26,87.89,20.900000000000002,0.2929
27,88.01,22.200000000000003,0.2983
28,88.23,23.300000000000004,0.3086
29,88.24,24.200000000000003,0.3133
30,88.3,24.900000000000002,0.3298
31,88.28,25.400000000000002,0.3291
32,88.46000000000001,25.900000000000002,0.3419
33,88.59,27.400000000000002,0.3567
34,88.64999999999999,28.700000000000003,0.3683
35,88.79,29.800000000000004,0.3789
36,88.85,30.700000000000003,0.3967
37,88.9,31.400000000000002,0.4042
38,88.74,31.900000000000002,0.4036
39,88.86,32.400000000000006,0.4103
40,88.81,32.900000000000006,0.4062
41,89.03999999999999,34.400000000000006,0.4232
42,89.18,35.7,0.4397
43,89.27000000000001,36.800000000000004,0.4481
44,89.28,37.7,0.4705
45,89.27000000000001,38.400000000000006,0.4732
46,89.4,38.900000000000006,0.5001
47,89.42999999999999,40.400000000000006,0.5065
48,89.49000000000001,41.7,0.5241
49,89.64,42.800000000000004,0.5363
50,89.69,43.7,0.5384
51,89.75,44.400000000000006,0.5607
52,89.69,44.900000000000006,0.5978
53,89.74,46.400000000000006,0.602
54,89.74,47.7,0.6125
55,89.83,48.800000000000004,0.6278
56,89.9,49.7,0.6398
57,89.91,50.400000000000006,0.6638
58,89.94,52.10000000000001,0.6716
59,90.02,53.60000000000001,0.6794
60,89.98,54.900000000000006,0.6859
61,90.08,56.00000000000001,0.7044
62,90.06,56.900000000000006,0.7099
63,90.03999999999999,57.60000000000001,0.6969
64,90.06,59.30000000000001,0.7005
65,90.03,60.80000000000001,0.7172
66,90.10000000000001,62.100000000000016,0.7264
67,90.18,63.20000000000002,0.7368
68,90.23,64.10000000000002,0.7409
69,90.34,64.80000000000003,0.7612
70,90.36,65.30000000000003,0.7613
71,90.32,65.80000000000003,0.7703
72,90.23,66.30000000000003,0.7948
73,90.34,67.80000000000003,0.8043
74,90.39,69.10000000000002,0.8095
75,90.36,70.20000000000002,0.8137
76,90.33,71.10000000000002,0.8168
77,90.34,71.80000000000003,0.8198
78,90.41,72.30000000000003,0.8235
79,90.42,73.80000000000003,0.8265
80,90.45,75.10000000000002,0.8255
81,90.44,76.20000000000002,0.8261
82,90.51,77.10000000000002,0.8296
83,90.44,77.80000000000003,0.8268
84,90.60000000000001,79.50000000000003,0.8323
85,90.62,81.00000000000003,0.8361
86,90.63,82.30000000000003,0.8439
87,90.60000000000001,83.40000000000002,0.8436
88,90.58,84.30000000000003,0.8518
89,90.39,85.00000000000003,0.8645
90,90.48,85.50000000000003,0.8631
91,90.55,87.00000000000003,0.8692
92,90.69,88.30000000000003,0.8734
93,90.67,89.40000000000002,0.8755
94,90.72,90.30000000000003,0.8724
95,90.7,91.00000000000003,0.8806
96,90.78,91.50000000000003,0.8824
97,90.86999999999999,93.00000000000003,0.8879
98,90.81,94.30000000000003,0.8877
99,90.79,95.40000000000002,0.8923
100,90.74,96.30000000000003,0.8947
