Round,Accuracy (%),Epsilon Acumulado,Distancia Minima
1,16.68,1.0,16.789549
2,34.33,1.8,28.97001
3,40.89,2.4000000000000004,32.059116
4,42.980000000000004,2.9000000000000004,19.354752
5,46.489999999999995,3.4000000000000004,26.575792
6,50.2,3.9000000000000004,18.873922
7,52.480000000000004,4.4,20.557571
8,54.39000000000001,4.9,14.075335
9,55.669999999999995,5.4,17.378284
10,57.010000000000005,5.9,13.738331
11,58.089999999999996,6.4,15.237035
12,59.160000000000004,6.9,13.846868
13,60.4,7.4,17.625233
14,61.660000000000004,7.9,13.954548
15,62.96000000000001,8.4,17.668453
16,64.35,8.9,14.605403
17,66.14999999999999,9.4,16.131613
18,67.71000000000001,9.9,15.054839
19,69.21000000000001,10.4,14.603416
20,70.74000000000001,10.9,13.259926
21,72.44,11.4,15.087161
22,73.54,11.9,15.688413
23,74.78,12.4,16.049181
24,75.67,12.9,16.44254
25,76.49000000000001,13.4,20.641743
26,77.14,13.9,16.749899
27,77.86,14.4,13.771782
28,78.55,14.9,16.205404
29,78.9,15.4,16.251595
30,79.21000000000001,15.9,14.870519
31,79.83,16.4,14.991614
32,80.22,16.9,13.478562
33,80.46,17.4,14.784419
34,80.80000000000001,17.9,12.704426
35,80.97999999999999,18.4,12.606551
36,81.22,18.9,15.354041
37,81.33,19.4,16.620216
38,81.55,19.9,16.5651
39,81.77,20.4,15.627086
40,81.85,20.9,15.142324
41,81.91000000000001,21.4,14.944874
42,82.1,21.9,14.999854
43,82.34,22.4,16.636625
44,82.47,22.9,15.652299
45,82.54,23.4,13.838044
46,82.85,23.9,14.316577
47,82.97,24.4,14.88843
48,83.1,24.9,11.594989
49,83.17,25.4,13.01499
50,83.08,25.9,11.307314
51,83.33,26.4,11.753532
52,83.49,26.9,9.978872
53,83.63000000000001,27.4,12.981866
54,83.52000000000001,27.9,13.25585
55,83.6,28.4,12.904311
56,83.62,28.9,11.39185
57,83.58,29.4,12.280129
58,83.55,29.9,13.1640215
59,83.7,30.4,13.074385
60,83.89,30.9,13.814554
61,84.03,31.4,16.31508
62,83.95,31.9,11.463512
63,83.93,32.4,12.46173
64,84.06,32.9,14.691904
65,84.11,34.4,9.483622
66,84.3,35.699999999999996,12.866476
67,84.34,36.8,13.643034
68,84.39,37.699999999999996,10.534836
69,84.5,38.4,9.553837
70,84.6,38.9,10.682005
71,84.48,40.4,12.384472
72,84.22,41.699999999999996,13.485805
73,84.50999999999999,42.8,12.916733
74,84.58,43.699999999999996,12.547965
75,84.65,44.4,10.870573
76,84.75,44.9,10.061692
77,84.8,45.4,10.979808
78,84.83000000000001,45.9,12.213462
79,84.88,47.4,11.475496
80,84.88,48.699999999999996,12.65516
81,84.95,49.8,11.336064
82,85.02,50.699999999999996,12.798937
83,84.87,51.4,13.401603
84,84.95,51.9,17.169428
85,85.0,52.4,13.304793
86,84.97,52.9,14.833788
87,85.06,53.4,12.33844
88,85.11999999999999,53.9,14.334003
89,85.22,54.4,14.253525
90,85.33,54.9,13.313169
91,85.22,55.4,11.842149
92,85.26,55.9,8.9445715
93,85.36,56.4,11.072318
94,85.21,56.9,10.009137
95,85.22,58.4,14.8480835
96,85.41,59.699999999999996,10.387046
97,85.5,60.8,9.675244
98,85.53,61.699999999999996,10.767568
99,85.61999999999999,62.4,11.926068
100,85.63,62.9,10.012765
